Question,Answer
What is covered in 4 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – I:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Introduction: Automata, Computability, and Complexity, Strings and languages: symbol, alphabet, string/ word."
What is covered in 4 Semester Syllabus (Semester Semester)?,"Language - Definition, language states, difference between natural and formal language."
What is covered in 4 Semester Syllabus (Semester Semester)?,"FSM without output: Definition and Construction-DFA, NFA, NFA with epsilon-Moves, Minimization Of FA,"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Equivalence of NFA and DFA, Conversion of NFA with epsilon moves to NFA, Conversion of NFA With epsilon"
What is covered in 4 Semester Syllabus (Semester Semester)?,"moves to DFA. FSM with output: Definition and Construction of Moore and Mealy Machines, Inter-conversion"
What is covered in 4 Semester Syllabus (Semester Semester)?,between Moore and Mealy Machines.
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – II:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Definition and Identities of Regular Expressions, Construction of Regular Expression of the given L, Construction"
What is covered in 4 Semester Syllabus (Semester Semester)?,"of Language from the RE, Construction of FA from the given RE using direct method, Conversion of FA to RE"
What is covered in 4 Semester Syllabus (Semester Semester)?,"using Arden’s Theorem, Pumping Lemma for RL, Closure properties of RLs, Applications of Regular Expressions."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – III:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Introduction, Formal Definition of Grammar, Notations, Derivation Process: Leftmost Derivation, Rightmost"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Derivation, derivation trees, Context Free Languages, Ambiguous CFG, Removal of ambiguity, Simplification of"
What is covered in 4 Semester Syllabus (Semester Semester)?,"CFG, Normal Forms, Chomsky Hierarchy, Regular grammar, equivalence of RG (LRG and RLG) and FA."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – IV:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Push Down Automata: Introduction and Definition of PDA, Construction (Pictorial/ Transition diagram) of PDA,"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Instantaneous Description and ACCEPTANCE of CFL by empty stack and final state, Deterministic PDA Vs"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Nondeterministic PDA, Closure properties of CFLs, pumping lemma for CFL. Post Machine- Definition and"
What is covered in 4 Semester Syllabus (Semester Semester)?,construction.
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – V:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Formal definition of a Turing machine, Recursive Languages and Recursively Enumerable Languages, Design of"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Turing machines, Variants of Turing Machines: Multi-tape Turing machines, Universal Turing Machine,"
What is covered in 4 Semester Syllabus (Semester Semester)?,Nondeterministic Turing machines. Comparisons of all automata.
What is covered in 4 Semester Syllabus (Semester Semester)?,Text Books :
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. Michael Sipser, Introduction to the Theory of Computation, CENGAGE Learning, 3rd edition ISBBN 13:978-"
What is covered in 4 Semester Syllabus (Semester Semester)?,81-315-2529-6.
What is covered in 4 Semester Syllabus (Semester Semester)?,"2. John E Hopcroft, Rajeev Motwani, J D Ullman, “Introduction to Automata theory, Languages, and"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Computations”, Pearson Education Publisher, 3rd edition, 2009."
What is covered in 4 Semester Syllabus (Semester Semester)?,"3. Vivek Kulkarni, Theory of Computation, Oxford University Press, ISBN-13: 978-0-19-808458-7."
What is covered in 4 Semester Syllabus (Semester Semester)?,Reference Books:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. E. V. Krishnamurthy, “Theory of computer science”, Affiliated East Press Publications, 2004."
What is covered in 4 Semester Syllabus (Semester Semester)?,"2. Dexter C. Kozen, Automata and Computability, Springer Verlag Publications, 1997."
What is covered in 4 Semester Syllabus (Semester Semester)?,"3. Harry Lewis, Christos H. Papadimitriou, “Elements of the Theory of Computation,” Prentice-Hall Publications,"
What is covered in 4 Semester Syllabus (Semester Semester)?,"2nd edition, 1997."
What is covered in 4 Semester Syllabus (Semester Semester)?,"4. John Martin, “Introduction to Languages and Theory of Computations”, McGraw-Hill Publications, 4th edition,"
What is covered in 4 Semester Syllabus (Semester Semester)?,"2010.India, ISBN: 9788126520107."
What is covered in 4 Semester Syllabus (Semester Semester)?,"Page 5 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)?,Subject: R for Data Science Subject Code: B127475(022)
What is covered in 4 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– I: OVERVIEW OF R:
What is covered in 4 Semester Syllabus (Semester Semester)?,History and Overview of R- Basic Features of R-Design of the R System- Installation of R- Console and Editor Panes-
What is covered in 4 Semester Syllabus (Semester Semester)?,Comments- Installing and Loading R Packages- Help Files and Function Documentation-Saving Work and Exiting R-
What is covered in 4 Semester Syllabus (Semester Semester)?,Conventions- R for Basic Math- Arithmetic- Logarithms and Exponentials-E-Notation- Assigning Objects- Vectors-
What is covered in 4 Semester Syllabus (Semester Semester)?,"Creating a Vector- Sequences, Repetition, Sorting, and Lengths- Subsetting and Element Extraction- Vector-Oriented"
What is covered in 4 Semester Syllabus (Semester Semester)?,Behaviour.
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– II: MATRICES AND ARRAYS:
What is covered in 4 Semester Syllabus (Semester Semester)?,Defining a Matrix – Defining a Matrix- Filling Direction- Row and Column Bindings- Matrix Dimensions-Sub
What is covered in 4 Semester Syllabus (Semester Semester)?,"setting- Row, Column, and Diagonal Extractions- Omitting and Overwriting- Matrix Operations and Algebra- Matrix"
What is covered in 4 Semester Syllabus (Semester Semester)?,Transpose- Identity Matrix- Matrix Addition and Subtraction- Matrix Multiplication-Matrix Inversion-
What is covered in 4 Semester Syllabus (Semester Semester)?,"Multidimensional Arrays- Subsets, Extractions, and Replacements."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– III: NON-NUMERIC VALUES:
What is covered in 4 Semester Syllabus (Semester Semester)?,Logical Values- Relational Operators- Characters- Creating a String- Concatenation- Escape Sequences-Substrings
What is covered in 4 Semester Syllabus (Semester Semester)?,and Matching- Factors- Identifying Categories- Defining and Ordering Levels- Combining and Cutting
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– IV: LISTS AND DATA FRAMES:
What is covered in 4 Semester Syllabus (Semester Semester)?,Lists of Objects-Component Access-Naming-Nesting-Data Frames-Adding Data Columns and
What is covered in 4 Semester Syllabus (Semester Semester)?,Combining Data Frames-Logical Record Subsets-Some Special Values-Infinity-NaN-NA-NULL Attributes-Object-
What is covered in 4 Semester Syllabus (Semester Semester)?,Class-Is-Dot Object-Checking Functions-As-Dot Coercion Functions-
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– V: BASIC PLOTTING:
What is covered in 4 Semester Syllabus (Semester Semester)?,Using plot with Coordinate Vectors-Graphical Parameters-Automatic Plot Types-Title and Axis Labels-Color-Line
What is covered in 4 Semester Syllabus (Semester Semester)?,"and Point Appearances-Plotting Region Limits-Adding Points, Lines, and Text to an Existing Plot-ggplot2 Package-"
What is covered in 4 Semester Syllabus (Semester Semester)?,Quick Plot with qplot-Setting Appearance Constants with Geoms-- READING AND WRITING FILES- R-Ready
What is covered in 4 Semester Syllabus (Semester Semester)?,Data Sets- Contributed Data Sets- Reading in External Data Files- Writing Out Data Files and Plots- Ad Hoc Object
What is covered in 4 Semester Syllabus (Semester Semester)?,Read/Write Operations
What is covered in 4 Semester Syllabus (Semester Semester)?,TEXT BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. TilmanM. Davies, “THE BOOK OF R - A FIRST PROGRAMMING AND STATISTICS” Library of Congress"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Cataloging-in-Publication Data, 2016."
What is covered in 4 Semester Syllabus (Semester Semester)?,Page 6 of 13REFERENCE BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. Roger D. Peng,”R Programming for Data Science “Lean Publishing, 2016."
What is covered in 4 Semester Syllabus (Semester Semester)?,"2. Hadley Wickham, Garrett Grolemund,” R for Data Science”, OREILLY Publication, 2017."
What is covered in 4 Semester Syllabus (Semester Semester)?,"3. Steven Keller, “R Programming for Beginners”, CreateSpace Independent Publishing Platform 2016."
What is covered in 4 Semester Syllabus (Semester Semester)?,"4. Kun Ren ,”Learning R Programming”, Packt Publishing, 2016."
What is covered in 4 Semester Syllabus (Semester Semester)?,E BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)?,1. https://web.itu.edu.tr/~tokerem/The_Book_of_R.pdf
What is covered in 4 Semester Syllabus (Semester Semester)?,MOOC:
What is covered in 4 Semester Syllabus (Semester Semester)?,1. https://online-learning.harvard.edu/subject/r
What is covered in 4 Semester Syllabus (Semester Semester)?,2. https://www.udemy.com/course/r-basics/
What is covered in 4 Semester Syllabus (Semester Semester)?,3. https://www.datacamp.com/courses/free-introduction-to-r
What is covered in 4 Semester Syllabus (Semester Semester)?,"Page 7 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)?,Subject: Data Visualization Subject Code: B127476(022)
What is covered in 4 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– I: INTRODUCTION TO VISUALIZATION:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Visualizing Data-Mapping Data onto Aesthetics, Aesthetics and Types of Data, Scales Map Data Values onto"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Aesthetics, Coordinate Systems and Axes- Cartesian Coordinates, Nonlinear Axes, Coordinate Systems with Curved"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Axes, Color Scales-Color as a Tool to Distinguish, Color to Represent Data Values ,Color as a Tool to Highlight,"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Directory of Visualizations- Amounts, Distributions, Proportions, x–y relationships, Geospatial Data."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– II: VISUALIZING DISTRIBUTIONS:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Visualizing Amounts-Bar Plots, Grouped and Stacked Bars, Dot Plots and Heatmaps, Visualizing Distributions:"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Histograms and Density Plots- Visualizing a Single Distribution, Visualizing Multiple Distributions at the Same Time,"
What is covered in 4 Semester Syllabus (Semester Semester)?,Visualizing Distributions: Empirical Cumulative Distribution Functions and Q-Q Plots-Empirical Cumulative
What is covered in 4 Semester Syllabus (Semester Semester)?,"Distribution Functions, Highly Skewed Distributions, Quantile-Quantile Plots, Visualizing Many Distributions at"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Once-Visualizing Distributions Along the Vertical Axis, Visualizing Distributions Along the Horizontal Axis."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– III: VISUALIZING ASSOCIATIONS & TIME SERIES:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Visualizing Proportions-A Case for Pie Charts, A Case for Side-by-Side Bars, A Case for Stacked Bars and Stacked"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Densities, Visualizing Proportions Separately as Parts of the Total ,Visualizing Nested Proportions- Nested"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Proportions Gone Wrong, Mosaic Plots and Treemaps, Nested Pies ,Parallel Sets. Visualizing Associations Among"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Two or More Quantitative Variables-Scatterplots, Correlograms, Dimension Reduction, Paired Data. Visualizing Time"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Series and Other Functions of an Independent Variable-Individual Time Series, Multiple Time Series and Dose–"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Response Curves, Time Series of Two or More Response Variables."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– IV: VISUALIZING UNCERTIANITY:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Visualizing Trends-Smoothing, Showing Trends with a Defined Functional Form, Detrending and Time-Series"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Decomposition, Visualizing Geospatial Data-Projections, Layers, Choropleth Mapping, Cartograms, Visualizing"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Uncertainty-Framing Probabilities as Frequencies, Visualizing the Uncertainty of Point Estimates, Visualizing the"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Uncertainty of Curve Fits, Hypothetical Outcome Plots."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– V: PRINCIPLE OF PROPORTIONAL INK:
What is covered in 4 Semester Syllabus (Semester Semester)?,"The Principle of Proportional Ink-Visualizations Along Linear Axes, Visualizations Along Logarithmic Axes, Direct"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Area Visualizations, Handling Overlapping Points-Partial Transparency and Jittering, 2D Histograms, Contour Lines,"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Common Pitfalls of Color Use-Encoding Too Much or Irrelevant Information ,Using Nonmonotonic Color Scales to"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Encode Data Values, Not Designing for Color-Vision Deficiency"
What is covered in 4 Semester Syllabus (Semester Semester)?,Page 8 of 13TEXT BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. Claus Wilke, “Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures”, 1st"
What is covered in 4 Semester Syllabus (Semester Semester)?,"edition, O’Reilly Media Inc, 2019."
What is covered in 4 Semester Syllabus (Semester Semester)?,REFERENCE BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. Tony Fischetti, Brett Lantz, R: Data Analysis and Visualization, O’Reilly, 2016"
What is covered in 4 Semester Syllabus (Semester Semester)?,"2. Ossama Embarak, Data Analysis and Visualization Using Python: Analyze Data to Create Visualizations for BI"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Systems, Apress, 2018."
