Question,Answer
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Language - Definition, language states, difference between natural and formal language."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"FSM without output: Definition and Construction-DFA, NFA, NFA with epsilon-Moves, Minimization Of FA,"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Equivalence of NFA and DFA, Conversion of NFA with epsilon moves to NFA, Conversion of NFA With epsilon"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"moves to DFA. FSM with output: Definition and Construction of Moore and Mealy Machines, Inter-conversion"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),between Moore and Mealy Machines.
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT – II:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Definition and Identities of Regular Expressions, Construction of Regular Expression of the given L, Construction"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"of Language from the RE, Construction of FA from the given RE using direct method, Conversion of FA to RE"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"using Arden’s Theorem, Pumping Lemma for RL, Closure properties of RLs, Applications of Regular Expressions."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT – III:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Operating System),"Introduction, Formal Definition of Grammar, Notations, Derivation Process: Leftmost Derivation, Rightmost"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"Derivation, derivation trees, Context Free Languages, Ambiguous CFG, Removal of ambiguity, Simplification of"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"CFG, Normal Forms, Chomsky Hierarchy, Regular grammar, equivalence of RG (LRG and RLG) and FA."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT – IV:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Push Down Automata: Introduction and Definition of PDA, Construction (Pictorial/ Transition diagram) of PDA,"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Instantaneous Description and ACCEPTANCE of CFL by empty stack and final state, Deterministic PDA Vs"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Nondeterministic PDA, Closure properties of CFLs, pumping lemma for CFL. Post Machine- Definition and"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),construction.
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT – V:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Formal definition of a Turing machine, Recursive Languages and Recursively Enumerable Languages, Design of"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Turing machines, Variants of Turing Machines: Multi-tape Turing machines, Universal Turing Machine,"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Nondeterministic Turing machines. Comparisons of all automata.
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Text Books :
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"1. Michael Sipser, Introduction to the Theory of Computation, CENGAGE Learning, 3rd edition ISBBN 13:978-"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),81-315-2529-6.
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"2. John E Hopcroft, Rajeev Motwani, J D Ullman, “Introduction to Automata theory, Languages, and"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"Computations”, Pearson Education Publisher, 3rd edition, 2009."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"3. Vivek Kulkarni, Theory of Computation, Oxford University Press, ISBN-13: 978-0-19-808458-7."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Reference Books:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Computer Network),"1. E. V. Krishnamurthy, “Theory of computer science”, Affiliated East Press Publications, 2004."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"2. Dexter C. Kozen, Automata and Computability, Springer Verlag Publications, 1997."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"3. Harry Lewis, Christos H. Papadimitriou, “Elements of the Theory of Computation,” Prentice-Hall Publications,"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"2nd edition, 1997."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"4. John Martin, “Introduction to Languages and Theory of Computations”, McGraw-Hill Publications, 4th edition,"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"2010.India, ISBN: 9788126520107."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"Page 5 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Subject: R for Data Science Subject Code: B127475(022)
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)? (General),"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),UNIT– I: OVERVIEW OF R:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),History and Overview of R- Basic Features of R-Design of the R System- Installation of R- Console and Editor Panes-
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Comments- Installing and Loading R Packages- Help Files and Function Documentation-Saving Work and Exiting R-
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Conventions- R for Basic Math- Arithmetic- Logarithms and Exponentials-E-Notation- Assigning Objects- Vectors-
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Creating a Vector- Sequences, Repetition, Sorting, and Lengths- Subsetting and Element Extraction- Vector-Oriented"
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Behaviour.
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),UNIT– II: MATRICES AND ARRAYS:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Defining a Matrix – Defining a Matrix- Filling Direction- Row and Column Bindings- Matrix Dimensions-Sub
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"setting- Row, Column, and Diagonal Extractions- Omitting and Overwriting- Matrix Operations and Algebra- Matrix"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Transpose- Identity Matrix- Matrix Addition and Subtraction- Matrix Multiplication-Matrix Inversion-
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"Multidimensional Arrays- Subsets, Extractions, and Replacements."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT– III: NON-NUMERIC VALUES:
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Logical Values- Relational Operators- Characters- Creating a String- Concatenation- Escape Sequences-Substrings
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),and Matching- Factors- Identifying Categories- Defining and Ordering Levels- Combining and Cutting
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),UNIT– IV: LISTS AND DATA FRAMES:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Lists of Objects-Component Access-Naming-Nesting-Data Frames-Adding Data Columns and
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Combining Data Frames-Logical Record Subsets-Some Special Values-Infinity-NaN-NA-NULL Attributes-Object-
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Class-Is-Dot Object-Checking Functions-As-Dot Coercion Functions-
What is covered in 4 Semester Syllabus (Semester Semester)? (General),UNIT– V: BASIC PLOTTING:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Using plot with Coordinate Vectors-Graphical Parameters-Automatic Plot Types-Title and Axis Labels-Color-Line
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"and Point Appearances-Plotting Region Limits-Adding Points, Lines, and Text to an Existing Plot-ggplot2 Package-"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Quick Plot with qplot-Setting Appearance Constants with Geoms-- READING AND WRITING FILES- R-Ready
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),Data Sets- Contributed Data Sets- Reading in External Data Files- Writing Out Data Files and Plots- Ad Hoc Object
What is covered in 4 Semester Syllabus (Semester Semester)? (General),Read/Write Operations
What is covered in 4 Semester Syllabus (Semester Semester)? (General),TEXT BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"1. TilmanM. Davies, “THE BOOK OF R - A FIRST PROGRAMMING AND STATISTICS” Library of Congress"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),"Cataloging-in-Publication Data, 2016."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Page 6 of 13REFERENCE BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),"1. Roger D. Peng,”R Programming for Data Science “Lean Publishing, 2016."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),"2. Hadley Wickham, Garrett Grolemund,” R for Data Science”, OREILLY Publication, 2017."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),"3. Steven Keller, “R Programming for Beginners”, CreateSpace Independent Publishing Platform 2016."
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),"4. Kun Ren ,”Learning R Programming”, Packt Publishing, 2016."
What is covered in 4 Semester Syllabus (Semester Semester)? (General),E BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)? (General),1. https://web.itu.edu.tr/~tokerem/The_Book_of_R.pdf
What is covered in 4 Semester Syllabus (Semester Semester)? (General),MOOC:
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Artificial Intelligence Principles and Applications),1. https://online-learning.harvard.edu/subject/r
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),2. https://www.udemy.com/course/r-basics/
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: R for Data Science),3. https://www.datacamp.com/courses/free-introduction-to-r
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),"Page 7 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Data Visualization),Subject: Data Visualization Subject Code: B127476(022)
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)? (Related to: Theory of Computation),No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
